title_en,title_ua,year,description,poster_url,","
The GodFather,Хрещений батько,1972,"Стрічка була презентована на широкому екрані у 1972 році. Знята за мотивами однойменного роману Маріо П'юзо.
У ньому розгортається картина мафіозного протистояння найбільших п'яти сімей післявоєнного Нью-Йорка. Головний герой - дон Віто Корлеоне - блискучий образ-взірець мафіозного ватажка, в якому поєднуються неймовірна жорстокість до ворогів і шляхетність. По ходу дії у фільмі розгортається чимало кривавих сцен.",https://www.hurtom.com/posters/the_godfather_copy_203.jpg,
Furiosa: A Mad Max Saga,Фуріоза: Шалений Макс. Сага ,2024,"Коли світ занепав, юну Фуріозу викрадають із Зеленого Місця Багатьох Матерів та віддають до рук великої Байкерської Орди на чолі з Дементусом. Пробираючись разом Пусткою, вони натрапляють на Цитадель Несмертела Джо. Поки два тирани воюють за панування, на Фуріозу чекає багато випробувань у спробі віднайти шлях додому.",https://toloka.to/photos/240627134538730949_f0_0.jpg,
